"ORDRE"	"NOM"	"MEDI"	"BOSSA"	"M"	"B"	"E"	"TB"	"TI"	"T0"	"T1"	"T2"	"T3"	"T4"
1	"0%-1L"	"1_0% Vinagre"	"1L_plàstic"	"0%"	"1L"	1	20	23	23	22,5	22,045	21,63095	21,2541645
2	"0%-2M"	"1_0% Vinagre"	"2M_midó"	"0%"	"2M"	1	20	21	21	20,8	20,606	20,41782	20,2352854
3	"0%-3B"	"1_0% Vinagre"	"3B_bambú"	"0%"	"3B"	1	20	22	22	21,7	21,406	21,11788	20,8355224
4	"0%-4F"	"1_0% Vinagre"	"4F_fusta"	"0%"	"4F"	1	20	21	21	20,6	20,22	19,859	19,51605
5	"0%-5S"	"1_0% Vinagre"	"5S_sucre"	"0%"	"5S"	1	20	23	23	22,9	22,806	22,71764	22,6345816
6	"0%-6A"	"1_0% Vinagre"	"6A_paper"	"0%"	"6A"	1	20	23	23	22,5	22,075	21,71375	21,4066875
7	"0%-7C"	"1_0% Vinagre"	"7C_control"	"0%"	"7C"	1	20	20	20	19,99	19,98	19,97	19,96
8	"30%-1L"	"2_30% Vinagre"	"1L_plàstic"	"30%"	"1L"	1	20	23	23	22,5	22,044545	21,62966648595	21,2517494987167
9	"30%-2M"	"2_30% Vinagre"	"2M_midó"	"30%"	"2M"	1	20	21	21	20,5	20,01015	19,530243955	19,0600800027135
10	"30%-3B"	"2_30% Vinagre"	"3B_bambú"	"30%"	"3B"	1	20	22	22	21,5	20,9169	20,23688878	19,443859695236
11	"30%-4F"	"2_30% Vinagre"	"4F_fusta"	"30%"	"4F"	1	20	21	21	20,5	19,9775	19,4314875	18,8609044375
12	"30%-5S"	"2_30% Vinagre"	"5S_sucre"	"30%"	"5S"	1	20	23	23	22,5	22,0065	21,5194155	21,0386630985
13	"30%-6A"	"2_30% Vinagre"	"6A_paper"	"30%"	"6A"	1	20	23	23	22,5	22,01125	21,533496875	21,0664931953125
14	"30%-7C"	"2_30% Vinagre"	"7C_control"	"30%"	"7C"	1	20	20	20	19,98	19,96	19,94	19,92
15	"60%-1L"	"3_60% Vinagre"	"1L_plàstic"	"60%"	"1L"	1	20	23	23	22,5	22,044545	21,62966648595	21,2517494987167
16	"60%-2M"	"3_60% Vinagre"	"2M_midó"	"60%"	"2M"	1	20	21	21	20,5	20,01015	19,530243955	19,0600800027135
17	"60%-3B"	"3_60% Vinagre"	"3B_bambú"	"60%"	"3B"	1	20	22	22	21,5	20,9169	20,23688878	19,443859695236
18	"60%-4F"	"3_60% Vinagre"	"4F_fusta"	"60%"	"4F"	1	20	21	21	20,5	19,9775	19,4314875	18,8609044375
19	"60%-5S"	"3_60% Vinagre"	"5S_sucre"	"60%"	"5S"	1	20	23	23	22,5	22,0065	21,5194155	21,0386630985
20	"60%-6A"	"3_60% Vinagre"	"6A_paper"	"60%"	"6A"	1	20	23	23	22,5	22,01125	21,533496875	21,0664931953125
21	"60%-7C"	"3_60% Vinagre"	"7C_control"	"60%"	"7C"	1	20	20	20	19,97	19,94	19,91	19,88
22	"O2-1L"	"0_Aire"	"1L_plàstic"	"O2"	"1L"	1	20	23	23	22,99	22,98	22,97	22,96
23	"O2-2M"	"0_Aire"	"2M_midó"	"O2"	"2M"	1	20	21	21	20,99	20,98	20,97	20,96
24	"O2-3B"	"0_Aire"	"3B_bambú"	"O2"	"3B"	1	20	22	22	21,99	21,98	21,97	21,96
25	"O2-4F"	"0_Aire"	"4F_fusta"	"O2"	"4F"	1	20	21	21	20,99	20,98	20,97	20,96
26	"O2-5S"	"0_Aire"	"5S_sucre"	"O2"	"5S"	1	20	23	23	22,99	22,98	22,97	22,96
27	"O2-6A"	"0_Aire"	"6A_paper"	"O2"	"6A"	1	20	23	23	22,99	22,98	22,97	22,96
28	"O2-7C"	"0_Aire"	"7C_control"	"O2"	"7C"	1	20	20	20	19,995	19,99	19,985	19,98
